ID	Author	Work	Subdoc	TextURN
urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	Aeschylus	Agamemnon	1-7	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:1.1-7.9
urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	Aeschylus	Agamemnon	8-10	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:8.1-10.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	Aeschylus	Agamemnon	10-11	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:10.5-11.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	Aeschylus	Agamemnon	12-14	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:12.1-14.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	Aeschylus	Agamemnon	14-15	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:14.3-15.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_6	Aeschylus	Agamemnon	16-19	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:16.1-19.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_7	Aeschylus	Agamemnon	20-21	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:20.1-21.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_8	Aeschylus	Agamemnon	22-24	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:22.1-24.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_9	Aeschylus	Agamemnon	25	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:25.1-25.3
urn:cite2:gagdt:sentences.v1:Aesch_Ag_10	Aeschylus	Agamemnon	26-30	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:26.1-30.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_11	Aeschylus	Agamemnon	31	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:31.1-31.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_12	Aeschylus	Agamemnon	32-33	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:32.1-33.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_13	Aeschylus	Agamemnon	34-35	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:34.1-35.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_14	Aeschylus	Agamemnon	36	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:36.1-36.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_15	Aeschylus	Agamemnon	36-37	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:36.6-37.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_16	Aeschylus	Agamemnon	37-38	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:37.3-38.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_17	Aeschylus	Agamemnon	38-39	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:38.5-39.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_18	Aeschylus	Agamemnon	40-54	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:40.1-54.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_19	Aeschylus	Agamemnon	55-59	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:55.1-59.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	Aeschylus	Agamemnon	60-67	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:60.1-67.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	Aeschylus	Agamemnon	67-68	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:67.5-68.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	Aeschylus	Agamemnon	68	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:68.3-68.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	Aeschylus	Agamemnon	69-71	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:69.1-71.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	Aeschylus	Agamemnon	72-75	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:72.1-75.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	Aeschylus	Agamemnon	76-82	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:76.1-82.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_26	Aeschylus	Agamemnon	83-85	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:83.1-85.3
urn:cite2:gagdt:sentences.v1:Aesch_Ag_27	Aeschylus	Agamemnon	85	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:85.4-85.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_28	Aeschylus	Agamemnon	85-87	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:85.7-87.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_29	Aeschylus	Agamemnon	88-91	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:88.1-91.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_30	Aeschylus	Agamemnon	92-96	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:92.1-96.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_31	Aeschylus	Agamemnon	97-103	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:97.1-103.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_32	Aeschylus	Agamemnon	104-105	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:104.1-105.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_33	Aeschylus	Agamemnon	105-107	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:105.3-107.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_34	Aeschylus	Agamemnon	108-120	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:108.1-120.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_35	Aeschylus	Agamemnon	121	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:121.1-121.9
urn:cite2:gagdt:sentences.v1:Aesch_Ag_36	Aeschylus	Agamemnon	122-124	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:122.1-124.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_37	Aeschylus	Agamemnon	125	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:125.1-125.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_38	Aeschylus	Agamemnon	126-130	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:126.1-130.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_39	Aeschylus	Agamemnon	131-133	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:131.1-133.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_40	Aeschylus	Agamemnon	133-138	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:133.3-138.6
urn:cite2:gagdt:sentences.v1:Aesch_Ag_41	Aeschylus	Agamemnon	139	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:139.1-139.9
urn:cite2:gagdt:sentences.v1:Aesch_Ag_42	Aeschylus	Agamemnon	140-145	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:140.1-145.8
urn:cite2:gagdt:sentences.v1:Aesch_Ag_43	Aeschylus	Agamemnon	146-153	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:146.1-153.3
