ID	Author	Work	Subdoc	TextURN
urn:cite2:gagdt:sentences.v1:Soph_Aj_1	Sophocles	Ajax	1-2	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:1.1-2.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_2	Sophocles	Ajax	3-7	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:3.1-7.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_3	Sophocles	Ajax	7-8	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:7.7-8.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_4	Sophocles	Ajax	9-10	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:9.1-10.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_5	Sophocles	Ajax	11-13	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:11.1-13.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_6	Sophocles	Ajax	14-17	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:14.1-17.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_7	Sophocles	Ajax	18-19	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:18.1-19.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_8	Sophocles	Ajax	20	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:20.1-20.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_9	Sophocles	Ajax	21-22	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:21.1-22.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_10	Sophocles	Ajax	23	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:23.1-23.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_11	Sophocles	Ajax	24	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:24.1-24.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_12	Sophocles	Ajax	25-27	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:25.1-27.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_13	Sophocles	Ajax	28	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:28.1-28.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_14	Sophocles	Ajax	29-31	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:29.1-31.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_15	Sophocles	Ajax	31-33	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:31.5-33.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_16	Sophocles	Ajax	34	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:34.1-34.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_17	Sophocles	Ajax	34-35	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:34.5-35.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_18	Sophocles	Ajax	36-37	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:36.1-37.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_19	Sophocles	Ajax	38	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:38.1-38.10
urn:cite2:gagdt:sentences.v1:Soph_Aj_20	Sophocles	Ajax	39	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:39.1-39.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_21	Sophocles	Ajax	40	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:40.1-40.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_22	Sophocles	Ajax	41	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:41.1-41.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_23	Sophocles	Ajax	42	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:42.1-42.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_24	Sophocles	Ajax	43	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:43.1-43.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_25	Sophocles	Ajax	44	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:44.1-44.10
urn:cite2:gagdt:sentences.v1:Soph_Aj_26	Sophocles	Ajax	45	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:45.1-45.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_27	Sophocles	Ajax	46	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:46.1-46.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_28	Sophocles	Ajax	47	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:47.1-47.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_29	Sophocles	Ajax	48	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:48.1-48.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_30	Sophocles	Ajax	49	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:49.1-49.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_31	Sophocles	Ajax	50	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:50.1-50.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_32	Sophocles	Ajax	51-54	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:51.1-54.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_33	Sophocles	Ajax	55-56	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:55.1-56.3
urn:cite2:gagdt:sentences.v1:Soph_Aj_34	Sophocles	Ajax	56-58	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:56.4-58.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_35	Sophocles	Ajax	59-60	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:59.1-60.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_36	Sophocles	Ajax	61-65	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:61.1-65.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_37	Sophocles	Ajax	66-67	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:66.1-67.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_38	Sophocles	Ajax	68-69	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:68.1-69.3
urn:cite2:gagdt:sentences.v1:Soph_Aj_39	Sophocles	Ajax	69-70	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:69.4-70.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_40	Sophocles	Ajax	71-72	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:71.1-72.5
urn:cite2:gagdt:sentences.v1:Soph_Aj_41	Sophocles	Ajax	73	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:73.1-73.3
urn:cite2:gagdt:sentences.v1:Soph_Aj_42	Sophocles	Ajax	73	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:73.4-73.7
