index	base cit	base line	tf/idf score	edit dist	compared cit	compared line	shared lemmas
1	2:14.1	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	16.4	47	1:5.620	αὐτὰρ ὃ λὰξ προσβὰς ἐκ νεκροῦ χάλκεον ἔγχος	{'ὁ': [5870, '1.60'], 'ἀτάρ': [901, '3.42'], 'ἐκ': [914, '3.42'], 'προσβαίνω': [9, '8.03']}
2	2:14.1	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	15.3	42	2:13.195	ἀτραπιτοί τε διηνεκέες λιμένες τε πάνορμοι	{'ἀτραπός': [5, '8.62'], 'λιμήν': [34, '6.70']}
3	2:14.1	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	12.8	29	1:5.308	ὦσε δ' ἀπὸ ῥινὸν τρηχὺς λίθος · αὐτὰρ ὅ γ' ἥρως	{'ὁ': [5870, '1.60'], 'τραχύς': [11, '7.83'], 'ἀτάρ': [901, '3.42']}
4	2:14.1	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	12.0	43	1:17.743	ἕλκωσ' ἐξ ὄρεος κατὰ παιπαλόεσσαν ἀταρπὸν	{'ἀτραπός': [5, '8.62'], 'ἐκ': [914, '3.42']}
5	2:14.1	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	10.1	51	2:13.102	αὐτὰρ ἐπὶ κρατὸς λιμένος τανύφυλλος ἐλαίη ,	{'λιμήν': [34, '6.70'], 'ἀτάρ': [901, '3.42']}
6	2:14.1	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	10.1	56	2:9.140	αὐτὰρ ἐπὶ κρατὸς λιμένος ῥέει ἀγλαὸν ὕδωρ ,	{'λιμήν': [34, '6.70'], 'ἀτάρ': [901, '3.42']}
7	2:14.1	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	10.1	46	2:16.352	στρεφθεὶς ἐκ χώρης , λιμένος πολυβενθέος ἐντός ,	{'ἐκ': [914, '3.42'], 'λιμήν': [34, '6.70']}
8	2:14.1	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	9.6	34	1:16.863	εἴρυσε λὰξ προσβάς , τὸν δ' ὕπτιον ὦσ' ἀπὸ δουρός .	{'ὁ': [5870, '1.60'], 'προσβαίνω': [9, '8.03']}
1	2:14.2	χῶρον ἀν' ὑλήεντα δι' ἄκριας , ᾗ οἱ Ἀθήνη	18.9	53	1:10.362	χῶρον ἀν' ὑλήενθ' , ὃ δέ τε προθέῃσι μεμηκώς ,	{'ἀνά': [232, '4.79'], 'χῶρος': [33, '6.73'], 'ὑλήεις': [16, '7.45']}
2	2:14.2	χῶρον ἀν' ὑλήεντα δι' ἄκριας , ᾗ οἱ Ἀθήνη	13.3	42	2:10.281	πῇ δὴ αὖτ' , ὦ δύστηνε , δι' ἄκριας ἔρχεαι οἶος ,	{'διά': [211, '4.88'], 'ἄκρις': [6, '8.44']}
