source	srcwords	target	targwords	nlinks	links_per_word
12-1:01	5183	12-1:24	6899	58349	4.829415659658997
12-1:01	5183	12-1:09	5820	46974	4.269199309279287
12-1:01	5183	12-1:02	6853	44914	3.731638418079096
12-1:01	5183	12-1:19	3479	31313	3.6149849919187256
12-1:01	5183	12-1:18	5047	36101	3.528934506353861
12-1:01	5183	12-1:15	6096	39729	3.5223867364128028
12-1:01	5183	12-1:10	4786	34415	3.452201825659545
12-1:01	5183	12-2:04	7326	42596	3.405228235670317
12-1:01	5183	12-1:05	7356	40919	3.2633383842411674
12-1:01	5183	12-1:08	4584	30590	3.131975017917477
12-1:01	5183	12-2:13	3794	28005	3.1196390776428653
12-1:01	5183	12-1:14	4275	29454	3.114189046310002
12-1:01	5183	12-1:23	7356	38928	3.1045537921684345
12-1:01	5183	12-1:22	4350	28839	3.0251757054442465
12-1:01	5183	12-1:21	5107	30118	2.926919339164237
12-1:01	5183	12-1:07	3883	26436	2.915949702183984
12-1:01	5183	12-2:24	4681	28102	2.8489456609894566
12-1:01	5183	12-2:03	4274	26861	2.840329914349159
12-1:01	5183	12-2:16	4187	26350	2.8121664887940234
12-1:01	5183	12-1:11	6884	33866	2.806497058092318
12-1:01	5183	12-1:04	4363	26021	2.7258537607374818
12-1:01	5183	12-2:17	5319	28352	2.699676252142449
12-1:01	5183	12-2:19	5230	27769	2.666762700470566
12-1:01	5183	12-2:08	5024	27094	2.654452826491623
12-1:01	5183	12-1:16	7002	32216	2.643906442347148
12-1:01	5183	12-2:10	4983	26581	2.6146960456423374
12-1:01	5183	12-1:20	4112	24213	2.6049488972565897
12-1:01	5183	12-2:14	4623	25382	2.588415255965735
12-1:01	5183	12-1:06	4275	24083	2.546310002114612
12-1:01	5183	12-2:15	4811	25362	2.537722633580148
12-1:01	5183	12-2:11	5444	26884	2.5297826291521597
12-1:01	5183	12-2:02	3799	22034	2.453128479180583
12-1:01	5183	12-2:18	3754	21602	2.417142217746447
12-1:01	5183	12-1:13	6733	26962	2.262672037596509
12-1:01	5183	12-2:23	3231	18797	2.2340147373425245
12-1:01	5183	12-2:12	3865	19685	2.1756189213085766
12-1:01	5183	12-2:01	3780	18963	2.1156978690170702
12-1:01	5183	12-1:17	6181	23915	2.1044526575149596
12-1:01	5183	12-2:20	3390	17750	2.0704537501458065
12-1:01	5183	12-2:09	4825	20633	2.061650679456435
12-1:01	5183	12-1:03	3701	18250	2.054254840162089
12-1:01	5183	12-2:21	3744	16754	1.876778312983085
12-1:01	5183	12-2:22	4284	17741	1.8739833104468153
12-1:01	5183	12-2:05	4297	17449	1.8406118143459915
12-1:01	5183	12-2:07	2910	14442	1.7845051278882986
12-1:01	5183	12-1:12	3777	14645	1.6344866071428572
12-1:01	5183	12-2:06	2890	11996	1.4859407902886164
12-2:01	3780	12-2:02	3799	32510	4.289484100804856
12-2:01	3780	12-2:04	7326	46744	4.208896092202413
12-2:01	3780	12-2:16	4187	31644	3.9718840215890547
12-2:01	3780	12-2:15	4811	33325	3.8790594808520544
12-2:01	3780	12-2:03	4274	31008	3.8500124161907125
12-2:01	3780	12-2:17	5319	34022	3.739092207934938
12-2:01	3780	12-2:23	3231	20596	2.937669376693767
12-2:01	3780	12-2:13	3794	22187	2.929363612358067
12-2:01	3780	12-2:24	4681	23697	2.800732773903794
12-2:01	3780	12-2:18	3754	20814	2.762675869392089
12-2:01	3780	12-2:19	5230	24497	2.718867924528302
12-2:01	3780	12-2:21	3744	19332	2.569377990430622
12-2:01	3780	12-2:08	5024	22527	2.55872330758746
12-2:01	3780	12-1:24	6899	27037	2.5317913662327935
12-2:01	3780	12-1:05	7356	28058	2.5195761494252875
12-2:01	3780	12-1:10	4786	21559	2.516810646742937
12-2:01	3780	12-2:20	3390	17588	2.4529986052998605
12-2:01	3780	12-2:11	5444	21702	2.3527753686036426
12-2:01	3780	12-2:10	4983	20253	2.3111947963026362
12-2:01	3780	12-2:22	4284	17832	2.2113095238095237
12-2:01	3780	12-1:01	5183	19716	2.1997099185540554
12-2:01	3780	12-1:09	5820	20755	2.161979166666667
12-2:01	3780	12-2:07	2910	14409	2.153811659192825
12-2:01	3780	12-2:14	4623	17963	2.137688920623587
12-2:01	3780	12-1:06	4275	17083	2.120794537554314
12-2:01	3780	12-2:06	2890	13879	2.080809595202399
12-2:01	3780	12-2:05	4297	16658	2.0623994057199457
12-2:01	3780	12-1:22	4350	16641	2.0468634686346863
12-2:01	3780	12-1:02	6853	20312	1.9102793191009122
12-2:01	3780	12-2:12	3865	14090	1.8430346631785481
12-2:01	3780	12-1:18	5047	15881	1.7991390053245724
12-2:01	3780	12-1:07	3883	13502	1.761973117577972
12-2:01	3780	12-1:14	4275	13780	1.7107386716325264
12-2:01	3780	12-1:15	6096	15987	1.6187727825030376
