work:book	links/line
12-1:01	26.2291325695581
12-2:01	24.91216216216216
12-1:02	19.608893956670467
12-2:02	26.463133640552996
12-1:03	23.99349240780911
12-2:03	25.3420523138833
12-1:04	23.095588235294116
12-2:04	25.79456906729634
12-1:05	24.24312431243124
12-2:05	23.732251521298174
12-1:06	23.1758034026465
12-2:06	23.462235649546827
12-1:07	25.439834024896264
12-2:07	24.70605187319885
12-1:08	23.297345132743363
12-2:08	23.27645051194539
12-1:09	23.311360448807854
12-2:09	19.87809187279152
12-1:10	27.221070811744386
12-2:10	25.527874564459932
12-1:11	21.2063679245283
12-2:11	22.55625
12-1:12	18.673036093418258
12-2:12	23.479028697571742
12-1:13	20.391875746714458
12-2:13	27.161363636363635
12-1:14	23.71647509578544
12-2:14	23.774859287054408
12-1:15	22.010723860589813
12-2:15	27.493716337522443
12-1:16	19.664359861591695
12-2:16	28.927234927234927
12-1:17	22.156373193166885
12-2:17	28.348184818481847
12-1:18	21.492706645056725
12-2:18	26.925233644859812
12-1:19	24.379716981132077
12-2:19	25.5364238410596
12-1:20	22.204771371769382
12-2:20	25.205583756345177
12-1:21	20.9328968903437
12-2:21	23.608294930875577
12-1:22	25.023300970873787
12-2:22	25.968063872255488
12-1:23	20.120401337792643
12-2:23	27.352150537634408
12-1:24	26.078358208955223
12-2:24	26.217153284671532
