index	base cit	base line	tf/idf score	edit dist	compared cit	compared line	shared lemmas
1	12-2:14.001	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	16.4	47	12-1:05.620	αὐτὰρ ὃ λὰξ προσβὰς ἐκ νεκροῦ χάλκεον ἔγχος	{'ἀτάρ': [901, 3.429, 1], 'ὁ': [5870, 1.609, 1], 'προσβαίνω': [9, 8.035, 1], 'ἐκ': [914, 3.422, 1]}
2	12-2:14.001	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	15.3	42	12-2:13.195	ἀτραπιτοί τε διηνεκέες λιμένες τε πάνορμοι	{'ἀτραπός': [5, 8.623, 1], 'λιμήν': [34, 6.706, 1]}
3	12-2:14.001	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	12.8	29	12-1:05.308	ὦσε δ' ἀπὸ ῥινὸν τρηχὺς λίθος · αὐτὰρ ὅ γ' ἥρως	{'τραχύς': [11, 7.835, 1], 'ἀτάρ': [901, 3.429, 1], 'ὁ': [5870, 1.609, 1]}
4	12-2:14.001	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	12.0	43	12-1:17.743	ἕλκωσ' ἐξ ὄρεος κατὰ παιπαλόεσσαν ἀταρπὸν	{'ἐκ': [914, 3.422, 1], 'ἀτραπός': [5, 8.623, 1]}
5	12-2:14.001	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	10.1	51	12-2:13.102	αὐτὰρ ἐπὶ κρατὸς λιμένος τανύφυλλος ἐλαίη ,	{'ἀτάρ': [901, 3.429, 1], 'λιμήν': [34, 6.706, 1]}
6	12-2:14.001	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	10.1	56	12-2:09.140	αὐτὰρ ἐπὶ κρατὸς λιμένος ῥέει ἀγλαὸν ὕδωρ ,	{'ἀτάρ': [901, 3.429, 1], 'λιμήν': [34, 6.706, 1]}
7	12-2:14.001	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	10.1	46	12-2:16.352	στρεφθεὶς ἐκ χώρης , λιμένος πολυβενθέος ἐντός ,	{'ἐκ': [914, 3.422, 1], 'λιμήν': [34, 6.706, 1]}
8	12-2:14.001	αὐτὰρ ὁ ἐκ λιμένος προσέβη τρηχεῖαν ἀταρπὸν	9.6	34	12-1:16.863	εἴρυσε λὰξ προσβάς , τὸν δ' ὕπτιον ὦσ' ἀπὸ δουρός .	{'προσβαίνω': [9, 8.035, 1], 'ὁ': [5870, 1.609, 1]}
1	12-2:14.002	χῶρον ἀν' ὑλήεντα δι' ἄκριας , ᾗ οἱ Ἀθήνη	18.9	53	12-1:10.362	χῶρον ἀν' ὑλήενθ' , ὃ δέ τε προθέῃσι μεμηκώς ,	{'χῶρος': [33, 6.736, 1], 'ἀνά': [232, 4.799, 1], 'ὑλήεις': [16, 7.46, 1]}
2	12-2:14.002	χῶρον ἀν' ὑλήεντα δι' ἄκριας , ᾗ οἱ Ἀθήνη	13.3	42	12-2:10.281	πῇ δὴ αὖτ' , ὦ δύστηνε , δι' ἄκριας ἔρχεαι οἶος ,	{'διά': [211, 4.885, 1], 'ἄκρις': [6, 8.441, 1]}
3	12-2:14.002	χῶρον ἀν' ὑλήεντα δι' ἄκριας , ᾗ οἱ Ἀθήνη	13.3	52	12-2:09.400	ᾤκεον ἐν σπήεσσι δι' ἄκριας ἠνεμοέσσας .	{'διά': [211, 4.885, 1], 'ἄκρις': [6, 8.441, 1]}
4	12-2:14.002	χῶρον ἀν' ὑλήεντα δι' ἄκριας , ᾗ οἱ Ἀθήνη	12.8	30	12-1:06.088	νηὸν Ἀθηναίης γλαυκώπιδος ἐν πόλει ἄκρῃ	{'Ἀθήνη': [322, 4.458, 1], 'ἄκρις': [6, 8.441, 1]}
5	12-2:14.002	χῶρον ἀν' ὑλήεντα δι' ἄκριας , ᾗ οἱ Ἀθήνη	12.6	46	12-2:02.116	τὰ φρονέουσ' ἀνὰ θυμόν , ὅ οἱ πέρι δῶκεν Ἀθήνη	{'ἀνά': [232, 4.799, 1], 'ἕ': [963, 3.368, 1], 'Ἀθήνη': [322, 4.458, 1]}
6	12-2:14.002	χῶρον ἀν' ὑλήεντα δι' ἄκριας , ᾗ οἱ Ἀθήνη	12.2	47	12-2:10.308	νῆσον ἀν' ὑλήεσσαν , ἐγὼ δ' ἐς δώματα Κίρκης	{'ἀνά': [232, 4.799, 1], 'ὑλήεις': [16, 7.46, 1]}
7	12-2:14.002	χῶρον ἀν' ὑλήεντα δι' ἄκριας , ᾗ οἱ Ἀθήνη	10.1	33	12-2:05.442	ἷξε νέων , τῇ δή οἱ ἐείσατο χῶρος ἄριστος ,	{'ἕ': [963, 3.368, 1], 'χῶρος': [33, 6.736, 1]}
8	12-2:14.002	χῶρον ἀν' ὑλήεντα δι' ἄκριας , ᾗ οἱ Ἀθήνη	9.6	37	12-1:10.298	ἂμ φόνον , ἂν νέκυας , διά τ' ἔντεα καὶ μέλαν αἷμα .	{'ἀνά': [232, 4.799, 1], 'διά': [211, 4.885, 1]}
1	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	18.5	37	12-2:22.129	τὴν δ' Ὀδυσεὺς φράζεσθαι ἀνώγει δῖον ὑφορβὸν	{'ὁ': [5870, 1.609, 1], 'φράζω': [110, 5.532, 1], 'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
2	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	16.3	41	12-2:17.507	ἡ δ' ἐπὶ οἷ καλέσασα προσηύδα δῖον ὑφορβόν ·	{'ὁ': [5870, 1.609, 1], 'ἕ': [963, 3.368, 1], 'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
3	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	13.0	34	12-2:14.401	τὸν δ' ἀπαμειβόμενος προσεφώνεε δῖος ὑφορβός ·	{'ὁ': [5870, 1.609, 1], 'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
4	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	13.0	32	12-2:14.413	αὐτὰρ ὁ οἷς ἑτάροισιν ἐκέκλετο δῖος ὑφορβός ·	{'ὁ': [5870, 1.609, 1], 'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
5	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	13.0	30	12-2:15.301	τὼ δ' αὖτ' ἐν κλισίῃ Ὀδυσεὺς καὶ δῖος ὑφορβὸς	{'ὁ': [5870, 1.609, 1], 'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
6	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	13.0	30	12-2:16.001	τὼ δ' αὖτ' ἐν κλισίῃ Ὀδυσεὺς καὶ δῖος ὑφορβὸς	{'ὁ': [5870, 1.609, 1], 'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
7	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	13.0	29	12-2:16.333	τὼ δὲ συναντήτην κῆρυξ καὶ δῖος ὑφορβὸς	{'ὁ': [5870, 1.609, 1], 'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
8	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	13.0	33	12-2:17.589	ἡ μὲν ἄρ' ὣς ἀγόρευεν , ὁ δ' ᾤχετο δῖος ὑφορβὸς	{'ὁ': [5870, 1.609, 1], 'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
9	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	13.0	34	12-2:21.359	αὐτὰρ ὁ τόξα λαβὼν φέρε καμπύλα δῖος ὑφορβός ·	{'ὁ': [5870, 1.609, 1], 'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
10	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	11.4	36	12-2:14.048	ὣς εἰπὼν κλισίηνδ' ἡγήσατο δῖος ὑφορβός ,	{'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
11	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	11.4	32	12-2:16.020	ὣς τότε Τηλέμαχον θεοειδέα δῖος ὑφορβὸς	{'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
12	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	11.4	40	12-2:16.056	δὴ τότε Τηλέμαχος προσεφώνεε δῖον ὑφορβόν ·	{'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
13	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	11.4	34	12-2:16.452	ἑσπέριος δ' Ὀδυσῆϊ καὶ υἱέϊ δῖος ὑφορβὸς	{'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
14	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	11.4	34	12-2:17.183	ὠτρύνοντ' Ὀδυσεύς τ' ἰέναι καὶ δῖος ὑφορβός .	{'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
15	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	11.4	29	12-2:17.260	ἔδμεναι . ἀγχίμολον δ' Ὀδυσεὺς καὶ δῖος ὑφορβὸς	{'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
16	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	11.4	40	12-2:21.080	ὣς φάτο , καί ῥ' Εὔμαιον ἀνώγει , δῖον ὑφορβόν ,	{'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
17	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	11.4	35	12-2:22.162	οἴσων τεύχεα καλά . νόησε δὲ δῖος ὑφορβός ,	{'δῖος': [405, 4.229, 1], 'ὑφορβός': [21, 7.188, 1]}
18	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	10.7	36	12-1:20.077	Πριαμίδεω · τοῦ γάρ ῥα μάλιστά ἑ θυμὸς ἀνώγει	{'ὁ': [5870, 1.609, 1], 'μάλιστα': [85, 5.79, 1], 'ἕ': [963, 3.368, 1]}
19	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	10.7	43	12-2:01.434	ἥ οἱ ἅμ' αἰθομένας δαΐδας φέρε , καί ἑ μάλιστα	{'ὁ': [5870, 1.609, 1], 'ἕ': [963, 3.368, 1], 'μάλιστα': [85, 5.79, 1]}
20	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	10.5	24	12-2:19.250	σήματ' ἀναγνούσῃ τά οἱ ἔμπεδα πέφραδ' Ὀδυσσεύς .	{'ὁ': [5870, 1.609, 1], 'ἕ': [963, 3.368, 1], 'φράζω': [110, 5.532, 1]}
21	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	10.5	24	12-2:23.206	σήματ' ἀναγνούσῃ τά οἱ ἔμπεδα πέφραδ' Ὀδυσσεύς ·	{'ὁ': [5870, 1.609, 1], 'ἕ': [963, 3.368, 1], 'φράζω': [110, 5.532, 1]}
22	12-2:14.003	πέφραδε δῖον ὑφορβόν , ὅ οἱ βιότοιο μάλιστα	10.5	26	12-2:24.346	σήματ' ἀναγνόντος τά οἱ ἔμπεδα πέφραδ' Ὀδυσσεύς .	{'ὁ': [5870, 1.609, 1], 'ἕ': [963, 3.368, 1], 'φράζω': [110, 5.532, 1]}
