index	base cit	base line	tf/idf score	edit dist	compared cit	compared line	shared lemmas
1	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	35.6	97	1:11.1	ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	{'ἠώς', 'παρά', 'ἀγαυός', 'λέχος', 'δέ', 'Τιθωνός', 'ἐκ'}
2	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	12.7	45	1:24.600	κεῖται δ' ἐν λεχέεσσ' · ἅμα δ' ἠοῖ φαινομένηφιν	{'ἠώς', 'δέ', 'λέχος'}
3	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	11.2	44	1:24.720	τρητοῖς ἐν λεχέεσσι θέσαν , παρὰ δ' εἷσαν ἀοιδοὺς	{'δέ', 'παρά', 'λέχος'}
4	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	11.2	37	2:1.366	πάντες δ' ἠρήσαντο παραὶ λεχέεσσι κλιθῆναι .	{'δέ', 'παρά', 'λέχος'}
5	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	11.2	37	2:18.213	πάντες δ' ἠρήσαντο παραὶ λεχέεσσι κλιθῆναι .	{'δέ', 'παρά', 'λέχος'}
6	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	11.2	31	2:7.347	πὰρ δὲ γυνὴ δέσποινα λέχος πόρσυνε καὶ εὐνήν .	{'δέ', 'παρά', 'λέχος'}
7	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	10.7	30	2:23.199	ἐκ δὲ τοῦ ἀρχόμενος λέχος ἔξεον , ὄφρ' ἐτέλεσσα ,	{'δέ', 'ἐκ', 'λέχος'}
8	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	10.7	38	2:13.120	ἐκ δὲ κτήματ' ἄειραν , ἅ οἱ Φαίηκες ἀγαυοὶ	{'δέ', 'ἀγαυός', 'ἐκ'}
9	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	10.4	39	1:24.12	δινεύεσκ' ἀλύων παρὰ θῖν' ἁλός · οὐ δέ μιν ἠὼς	{'ἠώς', 'δέ', 'παρά'}
10	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	10.3	29	1:23.25	πρηνέα πὰρ λεχέεσσι Μενοιτιάδαο τανύσσας	{'παρά', 'λέχος'}
11	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	10.3	28	2:1.440	πασσάλῳ ἀγκρεμάσασα παρὰ τρητοῖσι λέχεσσι	{'παρά', 'λέχος'}
12	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	10.0	36	1:20.237	Λαομέδων δ' ἄρα Τιθωνὸν τέκετο Πρίαμόν τε	{'δέ', 'Τιθωνός'}
13	2:5.1	Ἠὼς δ' ἐκ λεχέων παρ' ἀγαυοῦ Τιθωνοῖο	9.8	36	2:5.469	αὔρη δ' ἐκ ποταμοῦ ψυχρὴ πνέει ἠῶθι πρό .	{'ἠώς', 'δέ', 'ἐκ'}
